<b>先</b>,<b>セン</b><br>先生<br>先月<br><br><b>さき</b><br>お先に失礼します<br>
<b>生</b>,<b>セイ　ショウ</b><br>生徒<br>生活<br>誕生日<br><br><b></b><br><br>
<b>学</b>,<b>ガク</b><br>学生<br>学校<br><br><b></b><br><br>
<b>人</b>,<b>ジン　ニン</b><br>日本人<br>外国人<br>～人<br><br><b>ひと</b><br>人<br>一人、二人、三人、四人…<br>大人
<b>国</b>,<b>コク</b><br>外国<br><br><b>くに</b><br>国<br>
<b>男</b>,<b></b><br><br><br><b>おとこ</b><br>男の人<br>男の子<br>
<b>女</b>,<b>ジョ</b><br>彼女<br><br><b>おんな</b><br>女の人<br>女の子<br>
<b>子</b>,<b></b><br><br><br><b>こ</b><br>子供<br>
<b>友</b>,<b></b><br><br><br><b>とも</b><br>友達<br>
<b>父</b>,<b></b><br><br><br><b>ちち</b><br>父<br>お父さん
<b>母</b>,<b></b><br><br><br><b>はは</b><br>母<br>お母さん
<b>名</b>,<b>メイ</b><br>有名な<br><br><b>な</b><br>名前<br>
<b>田</b>,<b></b><br><br><br><b>た</b><br>田中さん、山田さん<br>
<b>山</b>,<b>サン</b><br>富士山<br><br><b>やま</b><br>山<br>
<b>語</b>,<b>ゴ</b><br>日本語<br>英語<br><br><b></b><br><br>
<b>本</b>,<b>ホン</b><br>本<br>日本<br>～本<br><br><b></b><br><br>
<b>何</b>,<b></b><br><br><br><b>なん　なに</b><br>何時<br>何時間<br>何<br>何語<br>
<b>時</b>,<b>ジ</b><br>九時<br>四時間<br><br><b></b><br><br>時計
<b>分</b>,<b>フン　ブン</b><br>五分<br>三十分<br>半分<br><br><b></b><br><br>
<b>間</b>,<b>カン</b><br>時間<br>一週間<br><br><b>あいだ　ま</b><br>ＡとＢの間<br>この間<br>間に合う<br>
<b>半</b>,<b>ハン</b><br>七時半<br>一時間半<br><br><b></b><br><br>
<b>午</b>,<b>ゴ</b><br>午後<br><br><b></b><br><br>
<b>前</b>,<b>ゼン</b><br>午前<br><br><b>まえ</b><br>前<br>名前<br>
<b>後</b>,<b>ゴ</b><br>午後<br><br><b>あと　うし（ろ）</b><br>後で<br>後ろ<br>
<b>今</b>,<b>コン</b><br>今月<br>今週<br><br><b>いま</b><br>今<br>今日<br>今年<br>今朝
<b>週</b>,<b>シュウ</b><br>先週<br>来週<br><br><b></b><br><br>
<b>年</b>,<b>ネン</b><br>一年<br>去年<br>来年<br><br><b>とし</b><br>今年<br>半年<br>
<b>毎</b>,<b>マイ</b><br>毎年<br>毎日<br>毎月<br><br><b></b><br><br>
<b>少</b>,<b></b><br><br><br><b>すこ（し）　すく（ない）</b><br>少し<br>少ない<br>
<b>多</b>,<b></b><br><br><br><b>おお（い）</b><br>多い<br>
<b>小</b>,<b>ショウ</b><br>小学校<br><br><b>ちい（さい）</b><br>小さい<br>
<b>大</b>,<b>ダイ　タイ</b><br>大学<br>大変な<br>大切な<br><br><b>おお（きい）</b><br>大きい<br>
<b>安</b>,<b>アン</b><br>安全な<br>安心する<br><br><b>やす（い）</b><br>安い<br>
<b>高</b>,<b>コウ</b><br>高校<br><br><b>たか（い）</b><br>高い<br>
<b>新</b>,<b>シン</b><br>新聞<br><br><b>あたら（しい）</b><br>新しい<br>
<b>古</b>,<b></b><br><br><br><b>ふる（い）</b><br>古い<br>
<b>早</b>,<b></b><br><br><br><b>はや（い）</b><br>早い<br>
<b>長</b>,<b>チョウ</b><br>社長<br><br><b>なが（い）</b><br>長い<br>
<b>円</b>,<b>エン</b><br>円<br><br><b></b><br><br>
<b>校</b>,<b>コウ</b><br>学校<br>校長<br><br><b></b><br><br>
<b>社</b>,<b>シャ</b><br>会社<br>社員<br><br><b></b><br><br>
<b>中</b>,<b>チュウ　ジュウ</b><br>中学校<br>一日中<br><br><b>なか</b><br>中<br>
<b>聞</b>,<b>ブン</b><br>新聞<br><br><b>き（く・こえる）</b><br>聞く<br>聞こえる<br>
<b>駅</b>,<b>エキ</b><br>駅<br><br><b></b><br><br>
<b>口</b>,<b></b><br><br><br><b>くち　ぐち</b><br>口<br>
<b>出</b>,<b></b><br><br><br><b>で（る）　だ（す）</b><br>出る<br>出かける<br>出す<br>出口<br>
<b>入</b>,<b></b><br><br><br><b>はい（る）　い（る）　い（れる）</b><br>入る<br>入口<br>入れる<br>
<b>東</b>,<b>トウ</b><br>東京<br><br><b>ひがし</b><br>東<br>東口<br>
<b>西</b>,<b>セイ</b><br>西洋<br><br><b>にし</b><br>西<br>西口<br>
<b>南</b>,<b></b><br><br><br><b>みなみ</b><br>南<br>南口<br>
<b>北</b>,<b>ホク</b><br>北海道<br><br><b>きた</b><br>北<br>北口<br>
<b>上</b>,<b>ジョウ</b><br>上手な<br><br><b>うえ　うわ</b><br>上<br>上着<br>
<b>下</b>,<b>カ</b><br>地下鉄<br><br><b>した</b><br>下<br>下手
<b>左</b>,<b></b><br><br><br><b>ひだり</b><br>ひだり<br>
<b>右</b>,<b></b><br><br><br><b>みぎ</b><br>右<br>
<b>外</b>,<b>ガイ</b><br>外国<br>外国人<br><br><b>そと</b><br>外<br>
